text
"2023 Clonakilla Canberra District, NSW 95"
"2023 Eden Road Canberra District, NSW 125"
"2024 Mount Majura Canberra District, NSW 100"
"2024 Best’s ‘Great Western’ Grampians, Vic 80"
"2024 Crawford River Henty, Vic 165"
"2023 Crawford River ‘Strata’ Henty, Vic 105"
"2021 Mac Forbes ‘RS7’ Yarra Valley, Vic 120"
"2024 Domaine Simha ‘Rani’ Coal River Valley, Tas 195"
"2024 Frogmore Creek Coal River Valley, Tas 80"
2023 Glaetzer- Dixon ‘Überblanc’ Tasmania blend 85
"2023 DC Shaw ‘Ten Miles East’ Adelaide Hills, SA 125"
"2024 Grosset ‘Polish Hill’ Clare Valley, SA 220"
"2023 Ministry of Clouds Clare Valley, SA 95"
"2024 Mount Horrocks ‘Watervale’ Clare Valley, SA 115"
"2023 Wines by KT ‘Peglidis’ Clare Valley, SA 130"
"2006 Henschke ‘Julius’ Eden Valley, SA 265"
"2014 Pewsey Vale ‘The Contours’ Eden Valley, SA 160"
"2023 Woods Crampton Eden Valley, SA 75"
"2023 Frankland Estate ‘Isolation Ridge’ Frankland River, WA 140"
"2016 Frankland Estate ‘Poison Hill’ Frankland River, WA 155"
2019 Greywacke Marlborough 115
2014 Pegasus Bay North Canterbury 185
2022 Jintaro Yura ‘ Le Silence et la Résonance’ Alsace 320
2014 Trimbach ‘Cuv ée Frédé ric Emile’ Alsace 1.5L 775
2022 Marcel Deiss Alsace 195
2019 Brü ndlmayer ‘ Ried Heiligenstein Lyra ’ Kamptal OTW Erste Lage 280
2016 Nikolaihof ‘Steiner Hund’ Wachau 465
2016 Veyder-Malberg ‘2B’ Wachau 350
2016 Heymann- Löwenstein ‘Uhlen Roth Lay’ Mosel GG 1.5L 672
2017 Dr. Loosen ‘Ürziger Würzgarten’ Mosel GG 595
2021 A.Christmann ‘Olberg - Hart’ Pfalz GG 525
2021 A.Christmann ‘IDIG’ Pfalz GG 565
2021 A.Christmann ‘Vogelsang’ Pfalz GG 565
2021 Dr Bürklin-Wolf ‘Reiterpfad GC’ Pfalz GC 420
2021 Jülg ‘Sonnenberg’ Pfalz GG 360
2021 Weingut Rebholz ‘Vo m Muschelkalk’ Pfalz Trocken 310
2021 Müller-Cat oir ‘M - C’ Pfalz Trocken 120
2021 Gunderloch ‘Hipping’ Rheinhessen GG 310
2020 Keller ‘Hubacker’ Rheinhessen GG 980
2023 Keller “Kirchspiel’ Rheinhessen GG 850
2023 Keller ‘Von der Fels’ Rheinhessen Trocken 290
2021 Wittmann ‘Aulerde’ Rheinhessen GG 365
2021 Wittmann ‘Brunnenhäuschen’ Rheinhessen GG 525
2021 Schloss Johannisberg ‘Rotlack’ Rheingau Kabinett 295
2022 Hofgut Falkenstein ‘ Ober Schäfershaus ’ Mosel Spätlese Trocken 280
2020 Joh. Jos . Prüm ‘Wehlener Sonnenuhr’ Mosel Spätlese 1.5L 660
2018 Selbach Oster ‘Wehlener Sonnenuhr’ Mosel Spätlese 210
"2024 Thomas Wines ‘Braemore’ Hunter Valley, NSW 95"
"2009 Tyrrell’s ‘Belford Vineyard ’ Hunter Valley, NSW 240"
"2021 Tyrrell’s ‘Johnno’s’ Hunter Valley, NSW 190"
"2013 Tyrrell’s ‘Vat 1’ Hunter Valley, NSW 330"
"2017 Tyrrell ’s ‘Vat 1’ Hunter Valley, NSW 1.5L 515"
"2024 Sp inifex ‘Lola blend’ Barossa Valley, SA 80"
"2024 Ocean Eight Mornington Peninsula, Vic 110"
"2024 Hoddles Creek ‘Estate’ Yarra Valley, Vic 90"
"2023 Haddow + Dineen ‘Grain of Truth ’ Tamar River, Tas 140"
2021 Domaine de l’Envol Alsace 100
"2023 De Salis ‘Wild Fume Blanc’ Orange, NSW 95"
"2023 Josh Cooper ‘Pyren Vineyard ’ Pyrenees, Vic 210"
"2014 Mount Mary ‘Triolet’ , Sauvignon blend Yarra Valley, Vic 385"
"2018 Mount Mary ‘Triolet’, Sauvignon blend Yarra Valley, Vic 360"
"2022 Mount Mary ‘Triolet’ , Sauvignon blend Yarra Valley, Vic 280"
"2015 Mount Mary ‘ Réflexion Fumé Blanc’ Yarra Valley, Vic 150"
"2013 Terre à Terre ‘ Crayères ’ Wrattonbully, SA 120"
