,page_num,rect_num,x0,y0,x1,y1,width,height,pts,linewidth,stroke,fill,evenodd,stroking_color,non_stroking_color,mcid,tag,object_type,page_number,path,dash,top,bottom,doctop
13,8,0,72.024,932.64,211.724,933.24001,139.7,0.6000099999999975,"[(72.024, 87.84000000000003), (211.724, 87.84000000000003), (211.724, 87.23999000000003), (72.024, 87.23999000000003)]",0,False,True,True,0,0.0,,Artifact,rect,14,"[('m', (72.024, 87.84000000000003)), ('l', (211.724, 87.84000000000003)), ('l', (211.724, 87.23999000000003)), ('l', (72.024, 87.23999000000003)), ('h',)]",,87.23999000000003,87.84000000000003,13353.479989999996
14,9,0,72.024,932.64,211.724,933.24001,139.7,0.6000099999999975,"[(72.024, 87.84000000000003), (211.724, 87.84000000000003), (211.724, 87.23999000000003), (72.024, 87.23999000000003)]",0,False,True,True,0,0.0,,Artifact,rect,15,"[('m', (72.024, 87.84000000000003)), ('l', (211.724, 87.84000000000003)), ('l', (211.724, 87.23999000000003)), ('l', (72.024, 87.23999000000003)), ('h',)]",,87.23999000000003,87.84000000000003,14373.959989999996
15,10,0,70.584,825.46,694.924,825.94,624.3399999999999,0.4800000000000182,"[(70.584, 195.01999999999998), (694.924, 195.01999999999998), (694.924, 194.53999999999996), (70.584, 194.53999999999996)]",0,False,True,True,0,0.0,,Artifact,rect,16,"[('m', (70.584, 195.01999999999998)), ('l', (694.924, 195.01999999999998)), ('l', (694.924, 194.53999999999996)), ('l', (70.584, 194.53999999999996)), ('h',)]",,194.53999999999996,195.01999999999998,15501.739999999994
16,10,1,70.584,573.91,694.924,574.3899799999999,624.3399999999999,0.479979999999955,"[(70.584, 446.57000000000005), (694.924, 446.57000000000005), (694.924, 446.0900200000001), (70.584, 446.0900200000001)]",0,False,True,True,0,0.0,,Artifact,rect,16,"[('m', (70.584, 446.57000000000005)), ('l', (694.924, 446.57000000000005)), ('l', (694.924, 446.0900200000001)), ('l', (70.584, 446.0900200000001)), ('h',)]",,446.0900200000001,446.57000000000005,15753.290019999995
17,10,2,70.584,177.14,694.924,177.61998,624.3399999999999,0.47998000000001184,"[(70.584, 843.34), (694.924, 843.34), (694.924, 842.8600200000001), (70.584, 842.8600200000001)]",0,False,True,True,0,0.0,,Artifact,rect,16,"[('m', (70.584, 843.34)), ('l', (694.924, 843.34)), ('l', (694.924, 842.8600200000001)), ('l', (70.584, 842.8600200000001)), ('h',)]",,842.8600200000001,843.34,16150.060019999995
18,11,0,70.584,909.46,694.924,909.94,624.3399999999999,0.4800000000000182,"[(70.584, 111.01999999999998), (694.924, 111.01999999999998), (694.924, 110.53999999999996), (70.584, 110.53999999999996)]",0,False,True,True,0,0.0,,Artifact,rect,17,"[('m', (70.584, 111.01999999999998)), ('l', (694.924, 111.01999999999998)), ('l', (694.924, 110.53999999999996)), ('l', (70.584, 110.53999999999996)), ('h',)]",,110.53999999999996,111.01999999999998,16438.219999999994
19,12,0,72.024,932.64,199.464,933.24001,127.44,0.6000099999999975,"[(72.024, 87.84000000000003), (199.464, 87.84000000000003), (199.464, 87.23999000000003), (72.024, 87.23999000000003)]",0,False,True,True,0,0.0,,Artifact,rect,18,"[('m', (72.024, 87.84000000000003)), ('l', (199.464, 87.84000000000003)), ('l', (199.464, 87.23999000000003)), ('l', (72.024, 87.23999000000003)), ('h',)]",,87.23999000000003,87.84000000000003,17435.399989999998
20,13,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,19,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,18458.399999999994
21,14,0,70.584,930.24,694.924,930.72,624.3399999999999,0.4800000000000182,"[(70.584, 90.24000000000001), (694.924, 90.24000000000001), (694.924, 89.75999999999999), (70.584, 89.75999999999999)]",0,False,True,True,0,0.0,,Artifact,rect,20,"[('m', (70.584, 90.24000000000001)), ('l', (694.924, 90.24000000000001)), ('l', (694.924, 89.75999999999999)), ('l', (70.584, 89.75999999999999)), ('h',)]",,89.75999999999999,90.24000000000001,19478.879999999994
22,14,1,70.584,416.69,694.924,417.16998,624.3399999999999,0.47998000000001184,"[(70.584, 603.79), (694.924, 603.79), (694.924, 603.31002), (70.584, 603.31002)]",0,False,True,True,0,0.0,,Artifact,rect,20,"[('m', (70.584, 603.79)), ('l', (694.924, 603.79)), ('l', (694.924, 603.31002)), ('l', (70.584, 603.31002)), ('h',)]",,603.31002,603.79,19992.430019999996
